Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,8/19/2023 16:07,FALSE,Run,3.75,262,0:30:00,180,194,168,239,8:00,7:34,--,--,1.05,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:51.1,5,0,--,--,--,--,--,0:29:47,0:30:00,--,--
Treadmill Running,8/19/2023 16:00,FALSE,Treadmill Running,0.66,46,05:53.8,167,181,169,176,8:54,7:50,--,--,1.07,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:06.1,2,0,--,--,--,--,--,0:05:47,05:53.8,--,--
Walking,8/18/2023 21:06,FALSE,Walking,0.88,79,0:20:49,108,120,109,245,23:45,9:33,--,--,0.62,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,20:49.3,1,0,--,--,--,--,--,0:17:48,0:20:49,--,--
Walking,8/18/2023 8:21,FALSE,Comal County Walking,1.28,91,0:28:05,108,126,84,167,21:53,13:34,13,13,0.88,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,06:15.4,2,0,--,--,--,--,--,0:27:23,0:28:05,963,984
Treadmill Running,8/17/2023 20:46,FALSE,Run,4.44,344,0:40:00,177,192,170,244,9:01,7:29,--,--,1.05,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,04:18.2,6,0,--,--,--,--,--,0:39:29,0:40:00,--,--
Strength Training,8/16/2023 21:22,FALSE,Strength,0,73,0:17:56,114,134,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,12,1,0:00,0,0:00,No,17:55.6,1,0,--,--,--,--,--,0:17:56,0:17:56,--,--
Walking,8/16/2023 20:51,FALSE,Walking,0.04,90,0:25:31,108,119,28,141,--,20:49,--,--,0.09,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,25:31.2,1,0,--,--,--,--,--,0:01:37,0:25:31,--,--
Walking,8/16/2023 9:13,FALSE,Comal County Walking,0.96,79,0:22:43,111,121,80,233,23:40,1:23,20,23,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,22:43.3,1,0,--,--,--,--,--,0:19:49,0:22:43,965,984
Cardio,8/15/2023 22:39,FALSE,Cardio,0,100,0:13:13,156,176,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:13.4,1,0,--,--,--,--,--,0:00:00,0:13:13,977,977
Treadmill Running,8/15/2023 21:34,FALSE,Run,3.54,260,0:30:00,177,199,175,182,8:29,7:28,--,--,1.09,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,5,0,--,--,--,--,--,0:29:54,0:30:00,--,--
Strength Training,8/14/2023 20:58,FALSE,Strength,0,67,0:15:02,117,137,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,25,1,0:00,0,0:00,No,15:01.7,1,0,--,--,--,--,--,0:15:02,0:15:02,--,--
Walking,8/14/2023 20:39,FALSE,Walking,0.62,46,0:12:37,110,120,115,234,20:26,10:09,--,--,0.69,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:36.9,1,0,--,--,--,--,--,0:12:28,0:12:37,983,985
Walking,8/14/2023 16:54,FALSE,Walking,0.91,114,0:32:02,110,118,85,239,35:01:00,10:01,--,--,0.54,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,32:01.7,1,0,--,--,--,--,--,0:24:37,0:32:02,--,--
Walking,8/13/2023 23:05,FALSE,Walking,0.63,79,0:25:16,95,109,81,141,39:58:00,16:48,--,--,0.5,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,25:15.5,1,0,--,--,--,--,--,0:17:06,0:25:16,--,--
Treadmill Running,8/12/2023 21:07,FALSE,Run,3.56,279,0:30:00,184,199,175,182,8:26,7:29,--,--,1.09,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,5,0,--,--,--,--,--,0:29:50,0:30:00,--,--
Walking,8/11/2023 20:48,FALSE,Walking,1.43,174,0:47:25,106,123,101,245,33:04:00,17:01,--,--,0.48,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:23.4,2,0,--,--,--,--,--,0:37:47,0:47:25,--,--
Walking,8/10/2023 20:58,FALSE,Walking,0.62,83,0:13:58,141,153,105,228,22:30,10:39,--,--,0.68,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:57.8,1,0,--,--,--,--,--,0:13:57,0:13:58,964,970
